model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
client_onboarding_process_for_a_marketing_agency_172.json,0.8266666666666667,0.6481818181818182,0.8776664325034829,0.822192246829928
content_promotion_process_2.json,0.82,0.4727104377104377,0.9274858986674549,0.886039886039886
process_for_optimizing_a_process_9.json,0.8633333333333333,0.59625,0.7232990875513022,0.607062937062937
order_fulfillment_process_7.json,0.84,0.5611483253588517,0.6330948173813562,0.5880583290110013
purchase_order_workflow_81.json,0.7600000000000001,0.501031746031746,0.9086432840490066,0.8813495313495313
churn_rate_prevention_process_27.json,0.6966666666666667,0.40375598086124403,0.6652886360304867,0.628517316017316
startup_due_diligence_for_a_venture_capitalist_7.json,0.8066666666666666,0.4295959595959596,0.6486573967697905,0.5159420289855072
project_management_process_81.json,0.7766666666666667,0.45706766917293234,0.8481710176995843,0.8084769261239849
content_promotion_process_0.json,0.8666666666666667,0.5117063492063493,0.8091323045542683,0.7596778627480382
final_grades_submission_process_0.json,0.8433333333333333,0.5532144548640713,0.8722687285189906,0.8221808143547275
account_payable_process_122.json,0.8266666666666667,0.4938888888888889,0.9263160551575892,0.9002178649237472
client_onboarding_process_for_a_marketing_agency_173.json,0.88,0.5580555555555555,0.8975001296574415,0.867094017094017
loan_application_process_79.json,0.9133333333333334,0.6075381263616557,0.7863963143164397,0.7538644282546721
content_promotion_process_129.json,0.8366666666666666,0.5144117647058823,0.9610625420631246,0.9472031236737118
employee_onboarding_process_11.json,0.8266666666666667,0.5307936507936507,0.8970768231351357,0.9218784483490365
process_for_optimizing_a_process_185.json,0.8533333333333334,0.6178282828282827,0.9035932050193182,0.8762950012950013
project_management_process_8.json,0.7300000000000001,0.4204390054390054,0.7163192006258517,0.6598953296821762
loan_application_process_48.json,0.91,0.5490170940170941,0.7258312028547103,0.5596141682479443
loan_application_process_72.json,0.86,0.5641880341880342,0.6237233088695512,0.6159769348107841
project_management_process_44.json,0.6933333333333334,0.47824561403508775,1.0,1.0
process_for_optimizing_a_process_92.json,0.8833333333333333,0.6777777777777777,0.914429966721834,0.8916389166389166
content_promotion_process_199.json,0.88,0.5056926406926406,0.6017594694027837,0.49415204678362573
project_management_process_2.json,0.86,0.5692543859649123,0.9468926819168243,0.9082898831048692
startup_due_diligence_for_a_venture_capitalist_186.json,0.7566666666666667,0.46025764895330107,0.7173092640304976,0.5615007720270878
startup_due_diligence_for_a_venture_capitalist_45.json,0.7766666666666667,0.4305656108597285,0.8412689785382841,0.7922132518396886
employee_onboarding_process_19.json,0.7666666666666666,0.4361111111111111,0.6823414363414363,0.5429487179487179
content_promotion_process_109.json,0.87,0.5313980463980464,0.6566119678689208,0.5522156084656084
final_grades_submission_process_68.json,0.7833333333333333,0.5579021423384168,0.9707210294902578,0.957023550160805
content_promotion_process_96.json,0.84,0.46011096116359274,0.9126350177972175,0.8849116161616161
purchase_order_workflow_169.json,0.8166666666666668,0.5031746031746032,0.844347895358827,0.7911535618852691
account_payable_process_45.json,0.8633333333333333,0.5968376068376068,0.9861344658985148,0.971111111111111
final_grades_submission_process_6.json,0.8233333333333333,0.5152020202020201,1.0,1.0
budget_preparation_process_33.json,0.8333333333333334,0.4657097288676236,0.82006191636216,0.7708333333333334
process_for_optimizing_a_process_37.json,0.8533333333333334,0.5292577030812325,0.8483464369413216,0.8020916943775561
budget_preparation_process_16.json,0.7533333333333333,0.536569264069264,0.7396308511225099,0.6483781918564526
process_for_optimizing_a_process_99.json,0.8633333333333333,0.6330555555555556,0.8398914348304413,0.802194960222779
customer_support_process_for_the_ticket_management_25.json,0.8066666666666666,0.4375324675324676,0.96994504840164,0.9576719576719577
process_for_optimizing_a_process_27.json,0.8233333333333333,0.6838278388278388,0.8305110980229734,0.7570175096770843
accounts_receivable_process_41.json,0.8433333333333333,0.4832407407407407,0.8449862177959288,0.8583638583638583
budget_preparation_process_19.json,0.8466666666666667,0.5594444444444444,0.9076517499054124,0.8525832555244319
purchase_order_workflow_190.json,0.8733333333333334,0.5126152279093455,0.7566767018225051,0.6131313131313131
budget_preparation_process_73.json,0.7566666666666667,0.4671230158730159,0.9052155236527862,0.8729865947257252
startup_due_diligence_for_a_venture_capitalist_178.json,0.8366666666666666,0.483191856452726,0.9272906485782392,0.9068047296891466
purchase_order_workflow_4.json,0.8266666666666667,0.5165530303030302,0.9702395629710415,0.9440545808966861
account_payable_process_179.json,0.8666666666666667,0.5835434173669468,0.741500635351478,0.6280680430680431
churn_rate_prevention_process_14.json,0.7200000000000001,0.4578328173374613,0.7424352518487164,0.5873983739837397
final_grades_submission_process_63.json,0.8766666666666666,0.5371428571428571,0.9347903655155666,0.925837950294472
final_grades_submission_process_1.json,0.8300000000000001,0.5025661375661375,0.8034289679531904,0.8571598336304218
purchase_order_workflow_16.json,0.7600000000000001,0.5053561253561253,0.7628921249991981,0.7045512817442642
employee_onboarding_process_43.json,0.7533333333333333,0.42805006587615285,0.9234805770070023,0.90127595715831
churn_rate_prevention_process_102.json,0.7333333333333334,0.4354723707664884,0.6825013529190612,0.5430762961984054
order_fulfillment_process_40.json,0.8866666666666667,0.7559984459984461,0.8605862772854823,0.80338266384778
process_for_optimizing_a_process_0.json,0.8566666666666666,0.6071971595655806,0.8398835229205227,0.8363625530292196
budget_preparation_process_10.json,0.84,0.5934892787524367,0.818627926065544,0.7570965945329272
accounts_receivable_process_43.json,0.81,0.5702055052790347,0.9666666666666667,0.9833333333333334
account_payable_process_32.json,0.8633333333333333,0.6061616161616161,0.7149187688361333,0.6152198678514468
