model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
client_onboarding_process_for_a_marketing_agency_172.json,0.8433333333333333,0.6438888888888888,0.8929635905160537,0.8531400966183575
content_promotion_process_2.json,0.8666666666666667,0.43333333333333335,1.0,0.9999999999999999
process_for_optimizing_a_process_9.json,0.8066666666666666,0.7063636363636364,0.7097404815818066,0.5741291319907672
order_fulfillment_process_7.json,0.8300000000000001,0.5816666666666667,0.44164884336058424,0.4156138426463629
purchase_order_workflow_81.json,0.91,0.7258333333333334,0.8591989665882197,0.820458553791887
churn_rate_prevention_process_27.json,0.7533333333333333,0.46757575757575753,0.7405303030303029,0.6944444444444443
startup_due_diligence_for_a_venture_capitalist_7.json,0.7933333333333333,0.45474747474747473,0.49089731774893125,0.5152116402116401
project_management_process_81.json,0.8033333333333333,0.543080808080808,0.7771812798508501,0.7079685746352412
content_promotion_process_0.json,0.8133333333333335,0.536506734006734,0.6120335384606973,0.5475905079563615
final_grades_submission_process_0.json,0.86,0.6167965367965368,0.7027344878358671,0.7335847159376571
account_payable_process_122.json,0.9033333333333333,0.6897619047619048,0.9199979910499728,0.9079695325309359
client_onboarding_process_for_a_marketing_agency_173.json,0.81,0.5305411255411255,0.9242332473460126,0.9028083028083027
loan_application_process_79.json,0.8833333333333333,0.5234848484848486,0.8240082206449806,0.7662020675066619
content_promotion_process_129.json,0.91,0.6692857142857142,0.6971941845330293,0.7811079987550574
employee_onboarding_process_11.json,0.8933333333333334,0.6371428571428571,1.0,0.9999999999999999
process_for_optimizing_a_process_185.json,0.88,0.636969696969697,0.8669133909058754,0.8168116554118674
project_management_process_8.json,0.7933333333333333,0.5374074074074074,0.6625739961073537,0.6264444944269506
loan_application_process_48.json,0.8566666666666666,0.5141919191919192,0.8687796949305059,0.8009506833036245
loan_application_process_72.json,0.85,0.49907407407407406,0.6970215051772221,0.6370568429391958
project_management_process_44.json,0.9,0.5958333333333333,0.8260869565217391,0.9166666666666666
process_for_optimizing_a_process_92.json,0.83,0.6108874458874459,0.9422449375525025,0.92698089765184
content_promotion_process_199.json,0.89,0.5803174603174603,0.4718528995756719,0.4833333333333332
project_management_process_2.json,0.8433333333333334,0.6438888888888888,0.8809785999077816,0.9065217391304348
startup_due_diligence_for_a_venture_capitalist_186.json,0.7799999999999999,0.5233333333333333,0.46052394680650793,0.4314814814814814
startup_due_diligence_for_a_venture_capitalist_45.json,0.8066666666666666,0.544537037037037,0.7296293783362748,0.8398501642036124
employee_onboarding_process_19.json,0.85,0.425,0.6631407807878396,0.553113553113553
content_promotion_process_109.json,0.8366666666666666,0.6395634920634922,0.3779137069192318,0.36686507936507934
final_grades_submission_process_68.json,0.9,0.6313131313131314,0.974503298977145,0.9640211640211639
content_promotion_process_96.json,0.91,0.6797474747474747,0.7273421305510758,0.7532076719576719
purchase_order_workflow_169.json,0.7633333333333333,0.4927777777777778,0.7750316259912878,0.7501461988304093
account_payable_process_45.json,0.8633333333333333,0.7025,0.9238095238095237,0.9722222222222222
final_grades_submission_process_6.json,0.88,0.5114285714285715,0.75,0.875
budget_preparation_process_33.json,0.8833333333333333,0.5931818181818181,0.8633566610125305,0.8251015505917466
process_for_optimizing_a_process_37.json,0.8266666666666667,0.5502380952380953,0.8849644692023068,0.8489728770266467
budget_preparation_process_16.json,0.7799999999999999,0.6531313131313131,0.800437356395525,0.7127461910070605
process_for_optimizing_a_process_99.json,0.8033333333333333,0.5063585434173671,0.8228386805439887,0.7779650669210634
customer_support_process_for_the_ticket_management_25.json,0.8433333333333333,0.455,0.8458000333000332,0.81517094017094
process_for_optimizing_a_process_27.json,0.8133333333333334,0.5448611111111111,0.9300260039835919,0.9073608930751789
accounts_receivable_process_41.json,0.8633333333333333,0.6935714285714285,0.914455398541485,0.8835978835978834
budget_preparation_process_19.json,0.8766666666666666,0.5864814814814815,0.8523203683509027,0.7634920634920634
purchase_order_workflow_190.json,0.9066666666666666,0.6408333333333334,0.6901384680631523,0.5199346405228759
budget_preparation_process_73.json,0.9033333333333333,0.6498148148148148,0.7987497490768337,0.8405401533061108
startup_due_diligence_for_a_venture_capitalist_178.json,0.8466666666666667,0.595050505050505,0.7577102635339581,0.8637869133296041
purchase_order_workflow_4.json,0.89,0.564047619047619,1.0,0.9999999999999999
account_payable_process_179.json,0.9166666666666666,0.738960113960114,0.8483987983053772,0.7896726553869411
churn_rate_prevention_process_14.json,0.7999999999999999,0.5634615384615386,0.7976560025340514,0.6333333333333333
final_grades_submission_process_63.json,0.8866666666666667,0.6169444444444444,0.9942723223790262,0.9915481344052771
final_grades_submission_process_1.json,0.8833333333333333,0.5964285714285714,0.9302539061067976,0.9376262626262627
purchase_order_workflow_16.json,0.85,0.5518518518518518,0.6611009996678474,0.5487654320987654
employee_onboarding_process_43.json,0.8866666666666667,0.6228205128205128,0.964526773752279,0.9439415929981966
churn_rate_prevention_process_102.json,0.7799999999999999,0.48325396825396827,0.6403327597181061,0.5342018706958577
order_fulfillment_process_40.json,0.88,0.6672727272727274,0.816998131891749,0.7903133903133902
process_for_optimizing_a_process_0.json,0.8366666666666666,0.5685858585858586,0.8909878595642358,0.8317460317460318
budget_preparation_process_10.json,0.91,0.5995221445221445,0.8629335458135424,0.8242960229418816
accounts_receivable_process_43.json,0.8533333333333334,0.6647619047619048,1.0,1.0
account_payable_process_32.json,0.8066666666666666,0.4914743589743589,0.7056026099504361,0.5809523809523809
client_onboarding_process_for_a_marketing_agency_102.json,0.85,0.5757936507936507,0.9124772381451272,0.8928571428571428
