model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
logistics_signavio_2.json,0.71,0.355,0.7399999999999999,0.8916666666666666
manufacturing_bpmai_1.json,0.6333333333333333,0.31666666666666665,0.7999999999999999,0.9166666666666666
logistics_bpmai_1.json,0.5933333333333334,0.2966666666666667,0.6939089973812195,0.7385030864197532
tourism_corradini_2.json,0.61,0.305,0.6007088452989261,0.6726083226083226
healthcare_klessascheck_1.json,0.59,0.3108730158730159,0.5024222420783263,0.5758661887694145
manufacturing_lodhi_5.json,0.5233333333333333,0.26166666666666666,0.7318607045342643,0.6780303030303031
gdpr_4_right_of_portability.json,0.6066666666666666,0.3033333333333333,0.7586206896551723,0.9166666666666666
logistics_cimino_3.json,0.48333333333333334,0.24166666666666667,0.6366701672550042,0.6926535773454899
tourism_bpmai_1.json,0.6133333333333333,0.30666666666666664,0.49236938333702146,0.5421764098593367
gdpr_1_data_breach.json,0.6033333333333334,0.3016666666666667,0.6000952782788648,0.6693871169480925
healthcare_bpmai_2.json,0.5766666666666667,0.28833333333333333,0.6361220696913363,0.7161680911680911
gdpr_7_right_to_be_forgotten.json,0.63,0.315,0.6700684816891173,0.7752436647173488
tourism_fouad_3.json,0.5733333333333333,0.2866666666666666,0.6146888086247433,0.699169859514687
manufacturing_aris_3.json,0.5499999999999999,0.27499999999999997,0.6655753371729668,0.6937068965517241
healthcare_bpmai_3.json,0.4166666666666667,0.20833333333333334,0.6005561064862834,0.6808745720510426
healthcare_redeker_5.json,0.5833333333333334,0.2916666666666667,0.6557738589010738,0.7169339302672636
healthcare_pufahl_4.json,0.5566666666666668,0.2783333333333334,0.7473148113786245,0.8818484383000511
logistics_klessascheck_5.json,0.5566666666666668,0.2881372549019608,0.6829799078994695,0.6515083632019115
manufacturing_bpmai_2.json,0.53,0.265,0.6203193229140324,0.7215290156466626
manufacturing_tomaskova_4.json,0.5733333333333333,0.2866666666666666,0.6224592032792956,0.6167402713773681
tourism_web_5.json,0.44333333333333336,0.22166666666666668,0.5846423149611178,0.6507936507936507
tourism_milanovic_4.json,0.58,0.29,0.7428571428571429,0.9166666666666666
logistics_ferreira_4.json,0.5533333333333333,0.27666666666666667,0.5699926118285132,0.6484126984126984
gdpr_2_consent_to_use_the_data.json,0.47333333333333333,0.24,0.5498488515554715,0.3878695208970438
gdpr_5_right_to_withdraw.json,0.4766666666666666,0.2383333333333333,0.6768439893439894,0.7713675213675213
