model_name,t2t_eval_1,t2t_eval_2,m2m_eval_1,m2m_eval_2
9_3.json,0.89,0.606904761904762,0.20723975942954045,0.3819444444444444
10_7.json,0.7766666666666667,0.40685185185185185,0.4287632759349394,0.583786231884058
10_5.json,0.9133333333333334,0.7483333333333334,0.36463806376080415,0.48148148148148145
10_13.json,0.89,0.5061111111111111,0.49947270441753044,0.5873397435897436
10_11.json,0.8166666666666668,0.525,0.2591899623809591,0.36306471306471305
9_4.json,0.8933333333333334,0.5762962962962963,0.11656500745669673,0.32936507936507936
3_1.json,0.8366666666666668,0.5105952380952381,0.4250656162507247,0.5195882217621347
2_1.json,0.75,0.42378048780487804,0.3345510744674362,0.36358924296566847
3_3.json,0.81,0.4843650793650794,0.49963479736454713,0.6166518666518666
6_2.json,0.8066666666666666,0.5533333333333333,0.2834036534161059,0.4301346801346801
5_4.json,0.7399999999999999,0.49499999999999994,0.22276771271998977,0.33163554046406335
3_6.json,0.86,0.5368376068376067,0.4110812879377758,0.5273553961814611
10_1.json,0.8566666666666666,0.49500000000000005,0.16196667792412472,0.26157407407407407
3_2.json,0.6933333333333334,0.42834656084656086,0.45005943624668737,0.5050944224857268
1_1.json,0.6666666666666666,0.42841880341880345,0.35332217371365043,0.39998057498057493
5_2.json,0.9166666666666666,0.7480158730158731,0.22363898727535092,0.34499759499759497
6_4.json,0.6966666666666667,0.3936706349206349,0.23684683315738483,0.343775642290207
10_12.json,0.8466666666666667,0.601111111111111,0.224061926929045,0.35326797385620906
3_7.json,0.7333333333333334,0.44999999999999996,0.5714285714285714,0.7619047619047619
9_1.json,0.8866666666666667,0.5322689075630253,0.1785403419661473,0.22473884140550804
10_6.json,0.8833333333333333,0.6416666666666667,0.330982905982906,0.36874999999999997
10_10.json,0.7966666666666667,0.514074074074074,0.13614973879038508,0.25846560846560845
1_3.json,0.7633333333333333,0.4329487179487179,0.289782964664827,0.3913411884000119
10_14.json,0.7033333333333333,0.3863888888888889,0.2019197665310221,0.22580182440580385
8_3.json,0.6333333333333333,0.33181818181818185,0.4669765166340509,0.5773809523809524
6_3.json,0.7633333333333333,0.38166666666666665,0.34294684365323747,0.42698412698412697
8_2.json,0.73,0.38015151515151513,0.3579912977978654,0.3954307187065808
6_1.json,0.7233333333333333,0.4170365729137659,0.2899051120880333,0.4220977595401354
2_2.json,0.79,0.44550505050505046,0.30196381105218345,0.35115167310376044
7_1.json,0.8133333333333334,0.4770370370370371,0.3319825018440063,0.4149763682372378
9_5.json,0.7166666666666667,0.43719564748976514,0.24797951771136886,0.2816215623233167
3_8.json,0.82,0.5554545454545455,0.3891166594737838,0.485293718627052
1_4.json,0.89,0.4588888888888889,0.2888097837329406,0.2888107510272235
1_2.json,0.87,0.48326546003016596,0.3035536636749266,0.3648984059716774
10_8.json,0.7600000000000001,0.6065211640211641,0.33128462116448537,0.475084175084175
9_2.json,0.82,0.4251515151515151,0.2621895387271068,0.28491272706958987
